Polarization,Time,Activation,Live_Cell_Percent,Live_Cell_Count,pSTAT1(Y701)+,pSTAT1(S727)+,pSTAT1(S727)_high,pSTAT1(S727)_low,pSTAT1(S727)-,pSTAT2(Y689)+,pSTAT3(Y705)+,pSTAT3(S727)+,pSTAT3(S727)_high,pSTAT3(S727)_low,pSTAT3(S727)-,pSTAT4(Y693)+,pSTAT5(Y694)+,pSTAT6(Y641)+
None,0.5 Hours,No,91.1,11620,0.57,97.8,0,98.1,1.62,68.1,5.15,78.1,0.28,79.9,17.7,0.37,28.8,0.94
None,0.5 Hours,No,94.2,17771,0.43,98,0,98.4,1.39,66.7,4.45,78.4,0.4,80.2,17.3,0.24,27.9,1.07
None,0.5 Hours,No,90.7,8369,0.6,97.2,0,97.7,1.86,66.1,4.1,73.4,0.4,75.4,21.8,0.32,28.9,1.04
Th1,0.5 Hours,No,94.5,19989,0.68,97.8,0,98.2,1.52,61.3,4.45,74.1,0.17,76.4,21.1,0.34,24.9,0.88
Th1,0.5 Hours,No,93.3,16562,0.64,97.5,0,98,1.61,61.8,4.72,72.9,0.34,75.1,22,0.33,26.6,1.06
Th1,0.5 Hours,No,93.7,15520,0.55,98,0,98.3,1.33,69.6,4.69,73.8,0.14,76.1,21.2,0.43,29.4,1.03
Th2,0.5 Hours,No,95.3,20017,0.52,98.4,5.00E-03,98.7,1.08,57.4,5.67,73.5,0.25,75.6,21.4,0.33,22.1,29.7
Th2,0.5 Hours,No,95.6,22636,0.47,98.6,0,98.8,1.05,57.1,5.35,74.3,0.25,76.4,20.8,0.22,22.1,31.9
Th2,0.5 Hours,No,95.9,20822,0.36,98.4,4.81E-03,98.8,0.98,54.3,4.54,69.4,0.15,72,25.3,0.17,21.1,30.7
Th17,0.5 Hours,No,95.9,25386,27.7,98.6,7.89E-03,98.8,1.01,63.7,85.1,84,1.5,83.6,13.2,3.56,26.4,3.01
Th17,0.5 Hours,No,95.8,23834,32.2,98.7,8.40E-03,98.9,0.89,66.8,85.6,85.6,1.75,85,11.8,3.39,30.5,3
Th17,0.5 Hours,No,96.3,22931,31.6,98.8,8.74E-03,99,0.83,59.5,86.4,80.6,1.86,80.3,15.9,3.29,27.3,3.05
iTreg,0.5 Hours,No,96.4,20048,0.58,98.6,0,98.8,1.11,67.4,5.24,76,0.055,78.4,19.1,0.22,36,0.96
iTreg,0.5 Hours,No,95.7,17325,0.65,98.2,0,98.5,1.28,66,4.62,71,0.04,73.7,23.3,0.23,35,0.94
iTreg,0.5 Hours,No,96.5,17698,0.32,98.8,0,99,0.89,64.8,5.35,69.8,0.1,72.7,24.4,0.28,35.7,1.11
None,96 Hours,Yes,80.8,14068,5.17,94.4,9.4,84.1,5.37,37.7,3.01,85.9,2.63,84.5,11.6,4.31,20.5,1.83
None,96 Hours,Yes,80.9,17045,4.57,93.7,12,79.7,6.06,38.6,2.98,88.6,1.83,87.5,9.58,3.67,15.8,1.61
None,96 Hours,Yes,81,16440,3.69,93,2.67,90,6.81,13,0.96,54.9,0.27,58.3,38,3.37,5.92,1.07
None,24 Hours,Yes,85.5,13123,1.19,89.8,0.95,89.2,8.26,27.4,10.1,85.2,1.36,84.9,12.6,0.66,9.76,2.68
None,24 Hours,Yes,81.8,9407,1.36,88.2,0.78,87.4,10.8,11.8,1.4,78.2,0.82,78.9,18.9,0.63,3.17,0.68
None,24 Hours,Yes,86,12015,1.38,90.4,1.56,88.6,7.59,36.8,12.8,88.1,2.09,86.5,10.4,0.83,14.6,2.58
None,0.5 Hours,Yes,88.5,8632,0.71,96.9,0,97.4,2.15,57,3.92,67.5,0.17,70.1,27,0.35,18.2,0.91
None,0.5 Hours,Yes,86.7,6740,0.83,96.7,0,97.1,2.39,58.9,4.55,70.2,0.28,72.5,24.8,0.42,22,0.94
Th1,96 Hours,Yes,73.4,8873,17,91.3,19.5,70.6,8.54,21.8,48.2,83.8,11.6,72.9,14.2,18.9,22.6,9.67
Th1,96 Hours,Yes,83.5,17912,26.2,93,35.8,54.8,6.79,26,52.8,87.3,15.7,71.7,10.9,27.4,35.4,12
Th1,96 Hours,Yes,83.6,18717,30.4,91.8,14.9,75.5,8.01,11.2,61.9,72.8,6.42,68.2,23.2,33.2,21.9,12.1
Th1,24 Hours,Yes,88.1,15481,1.64,91,1.38,89.5,8.11,10.3,8.98,67.7,0.56,69.7,27.1,1.64,5.8,0.92
Th1,24 Hours,Yes,86,16314,1.98,90.7,4.44,85.3,8.57,12.6,5.91,79.4,2.1,78.5,17.7,2.37,7.75,0.95
Th1,24 Hours,Yes,90.6,19104,1.9,93.5,2.09,91,5.8,20,11.8,82,1.08,82.4,14.8,2.19,9.74,1.48
Th1,0.5 Hours,Yes,94.4,21783,0.49,97.1,4.60E-03,97.8,1.69,53.8,3.77,62.8,0.12,65.6,31.1,0.31,16.4,0.69
Th1,0.5 Hours,Yes,94.5,18066,0.77,97.8,5.55E-03,98.2,1.56,61.5,4.36,72.6,0.14,75.1,22.1,0.46,19.8,0.79
Th1,0.5 Hours,Yes,93.8,17425,0.64,98,5.75E-03,98.3,1.44,64.7,4.58,75.2,0.22,77.3,20,0.38,25.4,0.89
Th2,96 Hours,Yes,77.2,11643,7.37,92,12.2,78.6,7.82,48.6,14.4,86.2,3.15,83.9,11.8,10.1,25.8,17.1
Th2,96 Hours,Yes,81.5,15906,8.97,91.2,14.4,74.9,8.65,42.3,16.8,87.4,6.09,81.7,11,13.7,23,25.3
Th2,96 Hours,Yes,85.5,20620,9.32,91.4,3.1,88.1,8.14,10.7,7.42,50.9,1.52,52.5,42.7,14.1,6.53,20.7
Th2,24 Hours,Yes,84.7,9775,0.76,90.4,1.26,89.2,7.97,18,17.7,76.9,1.48,77.1,19.6,0.67,8.58,8.71
Th2,24 Hours,Yes,85.1,13063,0.91,89.3,1.79,87.3,9.96,12.2,6.22,75.2,1.61,75.4,21,0.71,5.03,8.5
Th2,24 Hours,Yes,83,8073,1.13,87.3,1.22,86.1,11.7,11.6,7.3,70.5,0.7,71.8,25.1,0.68,4.74,7.51
Th2,0.5 Hours,Yes,95.8,24856,0.4,98.5,0,98.8,1.02,57.8,5.52,68.5,0.22,71,25.9,0.16,18.4,26.2
Th2,0.5 Hours,Yes,95.6,19542,0.52,98.2,5.13E-03,98.5,1.09,50.7,4.83,65.7,0.17,68.5,28.4,0.28,17.1,26.3
Th2,0.5 Hours,Yes,95.6,20362,0.46,98,0,98.4,1.28,52,4.44,66.8,0.14,69.6,27.5,0.2,18.3,27
Th17,96 Hours,Yes,66.1,10630,5.16,84,0.26,83.8,15.7,35,79.9,80.5,4.17,76.7,17.7,1.66,10.3,2.44
Th17,96 Hours,Yes,74.1,14604,7.95,85.4,0.84,84.2,14.4,30.4,80,84.8,13,71.1,14.6,2.13,6.32,2.54
Th17,96 Hours,Yes,77.3,15524,8.77,85.8,1,84.4,14,18.4,79.3,84.4,9.65,74.4,14.7,3.38,3.19,3.21
Th17,24 Hours,Yes,88.7,16932,5.06,91.1,1.24,89.7,8.09,14.6,74.7,77.2,4.11,74.4,19.3,0.8,4.95,2.31
Th17,24 Hours,Yes,89.4,17786,4.69,91.8,1.03,90.5,7.6,9.74,72.5,78.9,2.05,78.3,17.8,0.61,2.79,1.96
Th17,24 Hours,Yes,85.8,13067,4.75,88.9,0.68,88.3,10.2,11.8,69.6,78.4,2.16,77.3,19,0.75,3.48,2.26
Th17,0.5 Hours,Yes,95.8,24816,25.4,97.9,8.07E-03,98.2,1.54,56.7,84.1,81.2,1.47,81.2,15.6,3.24,22.4,3.01
Th17,0.5 Hours,Yes,95.7,23240,29,98.7,0.026,98.8,1.01,72.2,84.7,88,2.13,86.7,9.81,3.24,31.6,3.24
Th17,0.5 Hours,Yes,95.5,22288,27.9,98.7,0.013,98.8,1.03,67.4,85.2,85.9,1.97,84.8,11.6,3.5,30,3.11
iTreg,96 Hours,Yes,70.5,9548,5.76,91.9,10.5,80.4,7.94,28.5,8.33,86,4.97,81.7,12.2,4.15,49.8,1.45
iTreg,96 Hours,Yes,77.6,13827,12.6,91.1,30.1,57.9,8.65,34.1,20.3,88,8.2,79.9,10.8,11.5,67.5,2.65
iTreg,96 Hours,Yes,79.7,13130,13.3,91.6,28.5,60.2,8.12,23,23.4,86.2,11.5,74.7,12.1,13.5,66.2,3.19
iTreg,24 Hours,Yes,90.2,22927,0.92,91.8,0.41,91.5,7.34,10.1,5.33,69.3,0.42,71.4,25.6,0.45,23.2,0.66
iTreg,24 Hours,Yes,91.2,21857,0.89,92.5,0.65,91.8,6.93,8.34,2.58,69,0.35,71.2,25.7,0.4,24.2,0.52
iTreg,24 Hours,Yes,90.6,19343,0.61,92.2,0.42,91.8,7.15,11.2,5.46,71.1,0.35,73.3,23.9,0.36,24.9,0.88
iTreg,0.5 Hours,Yes,95.8,17033,0.68,98.5,0,98.6,1.28,74.5,5.23,73.8,0.22,76.2,20.9,0.3,37.1,0.72
iTreg,0.5 Hours,Yes,95.8,15804,0.5,98.4,0,98.6,1.3,60.7,4.36,66,0.057,69,28,0.21,28.4,0.72
iTreg,0.5 Hours,Yes,96,18019,0.59,98.3,5.56E-03,98.6,1.23,55.6,4.03,63,0.056,66.3,30.4,0.3,27,0.74
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,